year_bought,km_driven,transmission,owner,selling_price
2017,60000,Manual,First Owner,700000
2015,52000,Manual,First Owner,890000
2015,59385,Manual,First Owner,490000
2015,70378,Manual,First Owner,525000
2013,55425,Manual,First Owner,330000
2013,78413,Manual,Second Owner,550000
2018,40890,Manual,First Owner,790000
2015,34823,Manual,Second Owner,350000
2017,75000,Automatic,First Owner,1700000
2017,55545,Manual,First Owner,750000
2014,56541,Manual,First Owner,409999
2016,43700,Manual,First Owner,220000
2009,120000,Manual,Second Owner,68000
2017,20000,Manual,First Owner,290000
2014,27483,Manual,First Owner,600000
2019,8000,Manual,First Owner,470000
2008,30000,Manual,First Owner,150000
2014,56207,Manual,Second Owner,180000
2006,70000,Manual,First Owner,80000
2018,1440,Manual,First Owner,875000
2019,50000,Manual,First Owner,300000
2017,20000,Automatic,First Owner,2800000
2017,91195,Manual,First Owner,1330000
2011,63657,Manual,First Owner,220000
2013,60000,Manual,First Owner,250000
2016,75000,Manual,First Owner,919999
2013,97248,Manual,First Owner,380000
2012,46000,Manual,First Owner,450000
2016,10000,Automatic,First Owner,770000
2018,80000,Manual,First Owner,550000
2011,100000,Manual,Second Owner,320000
2013,35000,Manual,First Owner,400000
2017,50000,Automatic,First Owner,450000
2011,90000,Manual,Third Owner,220000
2012,150000,Manual,Second Owner,400000
2013,89000,Manual,Second Owner,530000
2014,60000,Manual,Second Owner,390000
2012,100000,Manual,Second Owner,185000
2012,100000,Manual,Second Owner,300000
2014,90000,Manual,Second Owner,575000
2014,75000,Manual,First Owner,300000
2017,36000,Manual,First Owner,425000
2016,12000,Manual,First Owner,350000
2017,12997,Manual,First Owner,550000
2017,40000,Automatic,First Owner,500000
2015,60000,Manual,First Owner,600000
2013,25000,Manual,Second Owner,300000
2018,26430,Manual,First Owner,1150000
2015,24600,Manual,First Owner,475000
2011,28481,Manual,First Owner,260000
2013,100000,Manual,First Owner,350000
2013,41988,Manual,First Owner,750000
2009,30375,Manual,First Owner,180000
2017,7658,Automatic,First Owner,350000
2017,34400,Manual,First Owner,611000
2017,18500,Manual,First Owner,325000
2012,48000,Manual,First Owner,225000
2014,28942,Automatic,First Owner,300000
2017,50000,Manual,Second Owner,400000
2012,53600,Manual,First Owner,711000
2015,53652,Manual,First Owner,851000
2014,25000,Manual,First Owner,500000
2007,80000,Manual,Second Owner,250000
2017,50000,Manual,First Owner,150000
2016,15000,Manual,Second Owner,610000
2018,5000,Manual,First Owner,450000
2017,106000,Manual,First Owner,744000
2008,100000,Manual,Third Owner,120000
2016,60000,Manual,Third Owner,220000
2012,120000,Manual,Fourth & Above Owner,480000
2017,82000,Automatic,First Owner,370000
2003,35000,Manual,Second Owner,55000
2013,205000,Manual,First Owner,125000
2011,125000,Manual,Third Owner,260000
2015,130000,Manual,First Owner,350000
2012,97000,Manual,Second Owner,170000
2015,90000,Manual,Second Owner,350000
2009,60000,Manual,Third Owner,250000
2013,60000,Manual,First Owner,170000
2018,35000,Manual,First Owner,1300000
2019,25000,Manual,First Owner,550000
2017,15000,Manual,First Owner,400000
2011,20000,Manual,First Owner,120000
2011,20000,Manual,First Owner,120000
2010,70000,Manual,First Owner,275000
2016,90000,Manual,First Owner,285000
2016,80000,Manual,First Owner,900000
2014,79500,Automatic,Second Owner,2500000
2013,70000,Manual,Second Owner,620000
2018,5000,Manual,First Owner,1700000
2018,15000,Manual,First Owner,650000
2014,35000,Manual,First Owner,500000
2009,120000,Manual,Second Owner,250000
2018,15000,Manual,Second Owner,950000
2015,60000,Manual,First Owner,320000
2013,120000,Manual,First Owner,450000
2016,90000,Manual,First Owner,350000
2015,90000,Manual,First Owner,400000
2018,10000,Manual,First Owner,200000
2009,72000,Manual,Second Owner,250000
2011,197000,Manual,Second Owner,550000
1999,70000,Manual,Second Owner,85000
2001,50000,Manual,Third Owner,52000
2017,50000,Automatic,First Owner,1200000
2011,60000,Automatic,Third Owner,450000
2018,40000,Manual,First Owner,615000
2012,60000,Manual,Second Owner,400000
2013,40000,Manual,First Owner,60000
2017,9161,Manual,First Owner,500000
2015,45000,Manual,First Owner,600000
2010,110000,Manual,First Owner,110000
2013,80000,Manual,First Owner,175000
2011,100000,Manual,Second Owner,325000
2017,90000,Manual,First Owner,425000
2009,70000,Manual,Third Owner,160000
2007,80000,Manual,Third Owner,100000
2014,110000,Manual,Second Owner,390000
2017,50000,Manual,First Owner,400000
2018,5000,Manual,First Owner,509999
2008,90000,Manual,Third Owner,150000
2009,120000,Manual,First Owner,110000
2013,80000,Manual,First Owner,450000
2017,38000,Manual,Second Owner,400000
2009,120000,Manual,First Owner,140000
2011,90000,Manual,First Owner,130000
2017,50000,Manual,First Owner,160000
2016,60000,Manual,First Owner,150000
2013,100000,Manual,Second Owner,500000
2011,19000,Manual,First Owner,40000
2006,200000,Manual,Third Owner,140000
2015,70000,Manual,Second Owner,227000
2011,50000,Manual,Second Owner,285000
2012,19077,Manual,Second Owner,155000
2016,30000,Manual,First Owner,210000
2009,80000,Manual,Second Owner,140000
2015,128000,Manual,First Owner,940000
2013,80000,Manual,First Owner,750000
2016,100000,Manual,First Owner,610000
2015,50000,Manual,First Owner,450000
2012,56000,Manual,First Owner,409999
2018,21302,Manual,First Owner,100000
2018,10500,Manual,First Owner,300000
2013,107000,Manual,First Owner,400000
2010,60000,Manual,Second Owner,210000
2006,120000,Manual,Second Owner,90000
2010,70000,Manual,First Owner,222000
2015,50000,Manual,Second Owner,240000
2013,70000,Manual,Second Owner,450000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2012,55300,Automatic,First Owner,735000
2012,74300,Manual,First Owner,285000
2010,48781,Manual,First Owner,350000
2010,87620,Automatic,First Owner,290000
2017,40219,Automatic,First Owner,890000
2011,11473,Manual,First Owner,385000
2017,8352,Manual,First Owner,425000
2017,9745,Automatic,First Owner,525000
2017,9748,Manual,First Owner,550000
2012,49000,Manual,First Owner,271000
2018,20694,Manual,First Owner,1490000
2015,31080,Manual,First Owner,490000
2014,37605,Manual,First Owner,260000
2014,55850,Manual,First Owner,455000
2010,58850,Manual,First Owner,75000
2015,23839,Manual,First Owner,421000
2016,54000,Manual,First Owner,550000
2013,38000,Automatic,First Owner,330000
2012,45454,Manual,First Owner,390000
2015,46957,Automatic,First Owner,599000
2007,60000,Manual,Fourth & Above Owner,110000
2016,25000,Manual,First Owner,250000
2012,110000,Manual,Fourth & Above Owner,600000
2008,190000,Manual,Second Owner,280000
2018,25000,Automatic,First Owner,2700000
2008,90000,Manual,First Owner,80000
2019,5000,Manual,First Owner,350000
2015,60000,Manual,First Owner,475000
2020,1500,Automatic,First Owner,4700000
2018,50000,Manual,First Owner,500000
2014,120000,Manual,First Owner,250000
2005,120000,Manual,Second Owner,100000
2019,5000,Manual,First Owner,350000
2014,47000,Automatic,First Owner,4000000
2017,20000,Automatic,First Owner,1900000
2005,120000,Manual,Second Owner,95000
2015,58000,Manual,First Owner,409999
2018,35000,Manual,First Owner,1050000
2017,30000,Manual,First Owner,320000
2019,10000,Manual,First Owner,1000000
2017,25000,Manual,First Owner,1770000
2018,20000,Manual,First Owner,950000
2018,50000,Manual,First Owner,750000
2014,42000,Manual,First Owner,220000
2017,50000,Manual,First Owner,1000000
2017,116000,Manual,First Owner,660000
2015,100000,Manual,First Owner,716000
2015,66000,Manual,First Owner,675000
2010,110000,Manual,Third Owner,385000
2014,70000,Manual,First Owner,325000
2015,60000,Manual,First Owner,950000
2007,110000,Automatic,Fourth & Above Owner,400000
2014,25000,Manual,First Owner,250000
2018,68000,Automatic,First Owner,4000000
2014,20000,Manual,First Owner,210000
2011,110000,Manual,Second Owner,147000
2018,26350,Manual,First Owner,725000
2012,90000,Manual,First Owner,550000
2016,25000,Manual,First Owner,475000
2014,50000,Manual,Second Owner,250000
2006,60000,Manual,Second Owner,70000
2012,70000,Manual,Third Owner,160000
2011,90000,Automatic,Second Owner,1000000
2001,70000,Manual,First Owner,68000
2017,26500,Manual,First Owner,500000
2013,60000,Manual,First Owner,170000
2018,35000,Manual,First Owner,1300000
2020,10000,Manual,First Owner,1050000
2009,15000,Manual,First Owner,300000
2016,25000,Manual,First Owner,600000
2017,50000,Manual,First Owner,900000
2019,25000,Manual,First Owner,550000
2007,52000,Manual,Second Owner,100000
2017,15000,Manual,First Owner,400000
2011,20000,Manual,First Owner,120000
2013,90000,Manual,First Owner,300000
2011,60000,Manual,Second Owner,140000
2015,23000,Manual,First Owner,640000
2018,22155,Manual,First Owner,380000
2011,20000,Manual,First Owner,120000
2018,70000,Manual,First Owner,650000
2009,60000,Manual,Second Owner,150000
2018,35000,Manual,First Owner,550000
2012,71042,Manual,First Owner,650000
2012,167870,Manual,Second Owner,1025000
2011,133564,Manual,First Owner,195000
2018,10000,Automatic,First Owner,3800000
2013,40000,Automatic,First Owner,1490000
2019,30000,Automatic,First Owner,4950000
2018,23038,Automatic,First Owner,1140000
2011,70000,Manual,First Owner,95000
2017,30000,Automatic,First Owner,3050000
2017,19890,Automatic,First Owner,550000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2017,43608,Manual,First Owner,585000
2018,11212,Automatic,First Owner,825000
2013,52000,Manual,First Owner,280000
2016,49217,Manual,First Owner,725000
2015,90000,Manual,First Owner,300000
2015,70000,Manual,First Owner,375000
2003,90000,Manual,Fourth & Above Owner,310000
2011,190000,Manual,Third Owner,375000
2016,106000,Automatic,First Owner,1950000
2012,80000,Manual,Second Owner,400000
2014,80000,Manual,Second Owner,550000
2018,20000,Manual,First Owner,270000
2012,110000,Manual,Second Owner,555000
2013,60000,Manual,Second Owner,500000
2010,130000,Automatic,Second Owner,400000
2017,28838,Manual,First Owner,280000
2008,200000,Manual,First Owner,80000
2006,100000,Manual,First Owner,55000
2014,50000,Manual,First Owner,250000
2010,190000,Manual,Fourth & Above Owner,250000
2007,100000,Manual,Second Owner,95000
2014,135000,Manual,Second Owner,725000
2015,50000,Manual,Third Owner,320000
2014,135000,Automatic,Third Owner,1200000
2012,50000,Manual,First Owner,160000
2018,19571,Manual,First Owner,790000
2018,29600,Manual,First Owner,1200000
2011,70000,Manual,First Owner,175000
2018,15000,Automatic,First Owner,950000
2019,50000,Manual,First Owner,340000
2017,13500,Manual,First Owner,825000
2018,22000,Automatic,First Owner,3100000
2018,25000,Manual,First Owner,780000
2010,80000,Automatic,Third Owner,350000
2018,39000,Manual,First Owner,690000
2016,60000,Manual,First Owner,245000
2018,49000,Manual,First Owner,790000
2018,48600,Manual,First Owner,680000
2017,20000,Manual,Second Owner,540000
2016,25000,Manual,First Owner,425000
2008,120000,Manual,First Owner,140000
2019,30000,Manual,First Owner,1100000
2015,35000,Manual,First Owner,715000
2013,86000,Automatic,First Owner,1580000
2015,127643,Automatic,First Owner,1750000
2018,54000,Manual,Second Owner,400000
2014,102354,Automatic,First Owner,1750000
2014,62237,Automatic,First Owner,1850000
2005,90000,Manual,Second Owner,114999
2018,21394,Manual,First Owner,950000
2015,32686,Manual,First Owner,310000
2006,1001,Manual,First Owner,575000
2017,22000,Manual,First Owner,490000
2017,53261,Manual,First Owner,480000
2016,53000,Automatic,First Owner,3500000
2018,10000,Manual,First Owner,370000
2017,14000,Manual,First Owner,835000
2017,44000,Manual,First Owner,650000
2014,39895,Manual,First Owner,670000
2017,73000,Automatic,First Owner,950000
2014,17000,Manual,First Owner,690000
2017,18591,Manual,First Owner,670000
2017,26766,Manual,First Owner,925000
2015,30000,Manual,First Owner,250000
2016,42000,Manual,First Owner,509999
2014,110000,Manual,First Owner,520000
2005,100000,Manual,First Owner,100000
2006,300000,Manual,Second Owner,85000
2009,110000,Manual,Third Owner,130000
2018,27620,Manual,First Owner,950000
2015,70000,Manual,First Owner,450000
2012,50000,Manual,Second Owner,320000
2015,50000,Manual,First Owner,480000
2014,46000,Automatic,First Owner,2490000
2012,82000,Manual,First Owner,790000
2016,120000,Manual,First Owner,120000
2006,80000,Manual,Third Owner,75000
2010,70000,Manual,First Owner,99000
2018,20000,Manual,First Owner,1015000
2013,200000,Manual,Second Owner,250000
2011,120000,Manual,First Owner,520000
2018,30000,Automatic,First Owner,1100000
2005,223000,Manual,First Owner,200000
2016,60000,Manual,First Owner,525000
2016,40000,Manual,First Owner,500000
2016,161327,Manual,First Owner,675000
2009,60000,Manual,Third Owner,150000
2007,50000,Manual,First Owner,250000
2018,6000,Manual,First Owner,450000
2009,68000,Manual,Second Owner,150000
2012,85000,Manual,First Owner,200000
2011,70000,Automatic,First Owner,525000
1999,35000,Manual,Second Owner,60000
2010,100000,Manual,Second Owner,180000
2015,110000,Manual,First Owner,475000
2010,195000,Automatic,Second Owner,380000
2015,46000,Manual,Second Owner,285000
2008,60000,Manual,Second Owner,91200
2017,46000,Manual,First Owner,250000
2015,42000,Manual,First Owner,400000
2006,90000,Automatic,Second Owner,160000
2012,85000,Manual,Second Owner,650000
2012,120000,Manual,Third Owner,409999
2013,72000,Manual,First Owner,425000
2013,71000,Manual,Second Owner,250000
2009,110000,Manual,Fourth & Above Owner,200000
2013,71000,Manual,Second Owner,250000
2010,144000,Manual,Fourth & Above Owner,130000
2017,30000,Manual,First Owner,260000
2007,65000,Manual,First Owner,155000
2015,38000,Manual,First Owner,450000
2012,90000,Manual,Second Owner,220000
2018,37000,Manual,First Owner,650000
2018,30000,Manual,First Owner,285000
2018,26000,Automatic,First Owner,725000
2016,30000,Manual,First Owner,625000
2016,23000,Manual,First Owner,550000
2012,40000,Manual,First Owner,240000
2014,27000,Manual,First Owner,600000
2012,65000,Manual,First Owner,350000
2015,32000,Manual,First Owner,245000
2016,56000,Manual,First Owner,600000
2017,30000,Automatic,First Owner,2400000
2014,80000,Manual,First Owner,620000
2014,52000,Manual,Second Owner,395000
2014,13250,Manual,First Owner,635000
2011,36000,Manual,First Owner,180000
2015,73000,Manual,Second Owner,484999
2004,60000,Manual,First Owner,110000
2006,60000,Manual,Second Owner,150000
2012,110000,Manual,First Owner,400000
2012,70000,Manual,Second Owner,200000
2013,60000,Manual,Second Owner,302000
2011,90000,Manual,Fourth & Above Owner,215000
2004,80000,Manual,Second Owner,155000
2014,101000,Manual,Second Owner,1000000
2018,44000,Manual,First Owner,550000
2006,45000,Manual,First Owner,200000
2017,120000,Manual,First Owner,750000
2005,90000,Manual,Second Owner,90000
2007,120000,Manual,Second Owner,80000
2013,13500,Manual,First Owner,229999
2017,10000,Manual,First Owner,350000
2015,25000,Manual,Third Owner,325000
2018,8500,Manual,First Owner,450000
2012,120000,Manual,First Owner,250000
2012,120000,Manual,First Owner,225000
2009,90246,Manual,Third Owner,150000
2008,90000,Manual,Second Owner,110000
2010,40000,Manual,Second Owner,150000
2000,60000,Manual,Fourth & Above Owner,165000
2017,32000,Manual,Second Owner,610000
2013,60400,Manual,First Owner,170000
2008,70950,Manual,Second Owner,150000
2013,90000,Manual,First Owner,300000
2015,72000,Manual,First Owner,375000
2013,90000,Manual,First Owner,390000
2017,10000,Manual,First Owner,600000
2014,25000,Manual,Second Owner,204999
2009,80000,Manual,Second Owner,270000
2017,10000,Manual,First Owner,375000
2020,1100,Manual,First Owner,700000
2017,40000,Manual,First Owner,455000
2017,10000,Manual,First Owner,375000
2014,31491,Manual,First Owner,341000
2014,107143,Manual,Second Owner,200000
2017,15000,Automatic,First Owner,450000
2012,50000,Manual,Second Owner,170000
2017,100000,Manual,First Owner,1900000
2016,60000,Manual,First Owner,500000
2016,85000,Manual,First Owner,819999
2014,40000,Manual,Second Owner,351000
2011,80000,Manual,Second Owner,195000
2008,82000,Manual,Second Owner,250000
2008,70000,Manual,Second Owner,120000
2009,70000,Manual,Third Owner,180000
2016,20000,Manual,First Owner,430000
2012,35000,Manual,Second Owner,75000
2017,80000,Manual,First Owner,750000
2011,40000,Manual,First Owner,60000
2015,46412,Manual,First Owner,1500000
2011,150000,Manual,Fourth & Above Owner,390000
2016,50000,Manual,First Owner,630000
2018,15000,Manual,First Owner,1085000
2012,60000,Manual,Second Owner,190000
2018,25000,Automatic,First Owner,550000
2012,90000,Manual,Third Owner,200000
2011,60000,Manual,First Owner,165000
2013,65000,Manual,First Owner,260000
2011,40000,Manual,First Owner,151000
2018,50000,Manual,First Owner,780000
2012,80000,Manual,Third Owner,175000
2010,107500,Manual,First Owner,170000
2013,135000,Manual,Second Owner,210000
2007,43826,Manual,Second Owner,90000
2016,55838,Manual,First Owner,535000
2007,112880,Manual,First Owner,195000
2011,90000,Manual,Third Owner,140000
2012,40000,Manual,First Owner,350000
2013,66000,Manual,First Owner,425000
2017,30300,Manual,First Owner,300000
2013,85000,Manual,Second Owner,340000
2009,80659,Manual,First Owner,250000
2008,81324,Manual,First Owner,170000
2013,127884,Manual,First Owner,315000
2015,50000,Manual,First Owner,200000
2016,25000,Manual,First Owner,300000
2015,66755,Manual,First Owner,300000
2013,123084,Manual,First Owner,380000
2009,806599,Manual,First Owner,250000
2013,95851,Manual,First Owner,310000
2010,50000,Manual,First Owner,260000
2008,50000,Manual,Second Owner,150000
2006,60000,Manual,Second Owner,85000
2015,15000,Manual,Second Owner,280000
2016,40000,Manual,First Owner,850000
2017,20000,Manual,Second Owner,375000
2006,120000,Manual,Third Owner,125000
2012,110000,Manual,First Owner,250000
2014,234000,Manual,First Owner,715000
2011,70000,Manual,First Owner,220000
2010,110000,Manual,Second Owner,110000
2007,84000,Manual,Second Owner,150000
2012,170000,Manual,First Owner,300000
2017,40000,Manual,First Owner,220000
2006,96000,Manual,Second Owner,75000
2009,20000,Manual,First Owner,100000
2016,15000,Manual,First Owner,380000
2007,50000,Manual,First Owner,100000
2010,80000,Manual,Second Owner,480000
2012,124000,Manual,First Owner,300000
2013,70000,Manual,First Owner,190000
2012,130000,Manual,Second Owner,190000
2017,19014,Manual,First Owner,650000
2009,23262,Manual,First Owner,300000
2016,29600,Manual,First Owner,700000
2015,35925,Manual,First Owner,310000
2018,12000,Manual,First Owner,500000
2013,40771,Manual,First Owner,415000
2015,30500,Automatic,Second Owner,395000
2014,42000,Manual,Second Owner,430000
2007,55800,Manual,Second Owner,215000
2014,66569,Manual,First Owner,550000
2014,81358,Manual,First Owner,415000
2015,82695,Manual,First Owner,450000
2014,68293,Manual,Second Owner,285000
2016,32000,Automatic,First Owner,580000
2014,190621,Manual,First Owner,300000
2018,60000,Manual,First Owner,1200000
2006,64700,Manual,First Owner,78000
2002,100000,Manual,Second Owner,65000
2016,88470,Manual,First Owner,400000
2016,75000,Manual,First Owner,850000
2013,120000,Manual,Second Owner,450000
2012,35000,Automatic,First Owner,2500000
2017,70000,Manual,First Owner,780000
2017,57000,Automatic,First Owner,3200000
2020,1000,Manual,First Owner,350000
2013,120000,Manual,Second Owner,285000
2015,98000,Manual,First Owner,525000
2014,90000,Manual,Second Owner,550000
2018,70000,Manual,First Owner,580000
2013,25000,Manual,Third Owner,75000
2009,60000,Manual,Third Owner,185000
2007,90000,Manual,Fourth & Above Owner,110000
2004,200000,Manual,Second Owner,180000
2010,110000,Manual,Second Owner,350000
2005,126000,Manual,Second Owner,60000
2018,70000,Manual,First Owner,695000
2019,5000,Automatic,First Owner,2700000
2007,74183,Manual,Second Owner,135000
2015,70000,Manual,Second Owner,640000
2014,90000,Manual,First Owner,160000
2004,46000,Manual,Second Owner,80000
2013,110000,Manual,Second Owner,340000
2012,80000,Manual,Second Owner,110000
2013,90000,Manual,Second Owner,250000
2017,70000,Manual,First Owner,1300000
2014,1,Manual,Second Owner,250000
2009,192000,Manual,First Owner,450000
2013,70000,Manual,Fourth & Above Owner,240000
2007,120000,Manual,Second Owner,225000
2015,60000,Manual,Second Owner,275000
2012,120000,Manual,Second Owner,320000
2008,120000,Manual,First Owner,75000
2007,50000,Manual,Second Owner,85000
2009,120000,Manual,First Owner,90000
2007,80000,Manual,Second Owner,85000
2008,80000,Manual,Second Owner,350000
2009,100000,Automatic,Second Owner,355000
2020,1500,Manual,First Owner,619000
2018,50000,Manual,First Owner,1700000
2006,100000,Manual,Second Owner,55000
2006,83411,Manual,First Owner,95000
2011,120000,Manual,Second Owner,300000
2006,83411,Manual,First Owner,81000
2015,80000,Automatic,Second Owner,1000000
2019,50000,Manual,First Owner,925000
2015,40000,Manual,First Owner,450000
2014,13270,Manual,First Owner,600000
2006,100000,Automatic,Third Owner,85000
2016,50000,Manual,First Owner,700000
2017,26500,Manual,First Owner,486000
2013,90000,Manual,First Owner,400000
2008,100000,Manual,Third Owner,120000
2018,35000,Manual,First Owner,275000
2016,57000,Manual,First Owner,580000
2015,70000,Manual,First Owner,375000
2015,100000,Manual,Third Owner,229999
2010,88000,Manual,Second Owner,110000
2017,60000,Manual,First Owner,600000
2009,76000,Manual,Second Owner,120000
2010,100000,Manual,Second Owner,200000
2012,110000,Manual,Second Owner,450000
2012,80000,Manual,Second Owner,550000
2012,80000,Manual,Second Owner,220000
2001,30000,Manual,First Owner,40000
2017,20000,Automatic,First Owner,300000
2018,40000,Manual,First Owner,630000
2017,40000,Manual,Second Owner,610000
2019,7000,Manual,Second Owner,660000
2012,80000,Manual,Second Owner,220000
2011,90000,Manual,Second Owner,138000
2013,13770,Manual,First Owner,210000
2005,34000,Manual,First Owner,125000
2008,102000,Manual,First Owner,125000
2014,110000,Manual,First Owner,725000
2011,90000,Manual,Second Owner,170000
2015,70000,Manual,Third Owner,1200000
2003,90000,Manual,Second Owner,70000
2007,70000,Manual,Second Owner,100000
2006,80000,Manual,Second Owner,300000
2013,100000,Manual,Second Owner,450000
2015,100000,Manual,First Owner,530000
2007,143000,Manual,Third Owner,100000
2010,115000,Manual,Second Owner,350000
2011,100000,Manual,Second Owner,165000
2019,120000,Manual,Second Owner,475000
2013,42000,Manual,First Owner,350000
2016,38000,Manual,First Owner,229999
2018,35000,Manual,First Owner,800000
2014,120000,Manual,Second Owner,475000
2014,136906,Manual,First Owner,425000
2015,97000,Manual,Second Owner,660000
2019,10000,Automatic,First Owner,610000
2013,50000,Manual,Third Owner,240000
2005,60000,Manual,Second Owner,70000
2011,120000,Manual,First Owner,550000
2010,120000,Manual,Second Owner,100000
2010,90000,Manual,Second Owner,350000
2013,120000,Manual,First Owner,200000
2019,3000,Automatic,First Owner,720000
2014,133000,Manual,First Owner,350000
2016,25000,Manual,First Owner,400000
2017,35000,Manual,First Owner,570000
2015,70000,Manual,First Owner,130000
2016,52000,Manual,First Owner,210000
2018,52000,Manual,First Owner,800000
2017,39000,Manual,First Owner,700000
2011,28689,Manual,First Owner,200000
2014,90000,Manual,Second Owner,495000
2014,80322,Manual,First Owner,325000
2019,8000,Manual,First Owner,650000
2000,50000,Manual,Second Owner,155000
2007,90000,Manual,Second Owner,75000
2015,61658,Manual,First Owner,350000
2010,50000,Manual,Third Owner,90000
2016,80000,Manual,First Owner,600000
2010,185000,Manual,First Owner,400000
2014,57000,Manual,Second Owner,370000
2000,60000,Manual,First Owner,50000
2004,120000,Manual,Second Owner,125000
2018,26000,Automatic,First Owner,1800000
2019,20000,Automatic,First Owner,650000
2017,30600,Automatic,First Owner,800000
2020,5000,Manual,First Owner,802000
2015,35000,Automatic,Third Owner,2300000
2016,35000,Manual,First Owner,430000
2017,23000,Manual,First Owner,650000
2004,120000,Manual,First Owner,170000
2011,235000,Automatic,First Owner,450000
2013,87000,Manual,First Owner,250000
2014,72000,Manual,Second Owner,550000
2013,64000,Automatic,Second Owner,2000000
2007,100000,Manual,Second Owner,140000
2012,12000,Manual,First Owner,155000
2010,67000,Manual,Third Owner,120000
2012,70000,Manual,First Owner,287000
2016,60000,Manual,First Owner,675000
2011,74500,Manual,Second Owner,235000
2011,118700,Manual,Second Owner,300000
2015,40000,Automatic,Second Owner,434999
2004,223660,Automatic,Third Owner,225000
2006,140000,Manual,Second Owner,160000
2020,5000,Manual,First Owner,600000
2016,100000,Manual,Second Owner,470000
2011,100000,Manual,Second Owner,300000
2018,2000,Manual,First Owner,600000
2020,4000,Automatic,First Owner,640000
2006,120000,Manual,Fourth & Above Owner,50000
2015,35000,Manual,First Owner,600000
2014,29000,Manual,First Owner,290000
2015,30000,Manual,First Owner,600000
2012,120000,Manual,First Owner,190000
2008,110000,Manual,Third Owner,160000
2017,15000,Manual,First Owner,325000
2006,73756,Manual,First Owner,200000
2018,40000,Automatic,First Owner,2800000
2011,60000,Manual,Third Owner,125000
2008,60000,Manual,Fourth & Above Owner,155000
2015,90000,Manual,First Owner,550000
2009,70000,Manual,Fourth & Above Owner,130000
2002,70000,Manual,Second Owner,80000
2015,80000,Manual,Second Owner,500000
2019,27000,Manual,First Owner,250000
2012,70000,Manual,First Owner,580000
2002,50000,Manual,First Owner,60000
2012,185000,Manual,First Owner,300000
2014,90000,Manual,Second Owner,200000
2017,16400,Manual,First Owner,1200000
2015,80000,Manual,Second Owner,350000
2012,80000,Manual,Second Owner,600000
2019,4000,Manual,First Owner,650000
2008,40000,Manual,First Owner,120000
2010,120000,Manual,Second Owner,180000
2018,41395,Automatic,First Owner,950000
2012,35000,Manual,Second Owner,250999
2012,52000,Manual,First Owner,385000
2009,47000,Automatic,Second Owner,1250000
2013,50000,Manual,First Owner,165000
2015,48000,Manual,First Owner,700000
2015,53000,Manual,First Owner,750000
2008,213000,Manual,First Owner,89999
2018,15000,Automatic,First Owner,290000
2014,7000,Manual,Second Owner,45000
2013,88000,Automatic,First Owner,675000
2015,55000,Manual,First Owner,530000
2014,48000,Automatic,First Owner,1485000
2014,71014,Manual,First Owner,325000
2015,60000,Manual,First Owner,400000
2017,71000,Manual,First Owner,380000
2016,45000,Automatic,First Owner,750000
2017,45000,Manual,First Owner,390000
2009,20000,Manual,First Owner,110000
2019,14000,Manual,First Owner,1825000
2019,17000,Automatic,First Owner,3256000
2015,60000,Manual,First Owner,370000
2013,80000,Manual,Second Owner,210000
2007,181000,Manual,Fourth & Above Owner,175000
2012,89550,Manual,Second Owner,575000
2010,90000,Manual,Third Owner,320000
2010,149500,Manual,Third Owner,280000
2013,190000,Manual,Second Owner,500000
2013,83000,Manual,First Owner,380000
2005,20000,Manual,Second Owner,120000
2018,20000,Manual,First Owner,395000
2010,160000,Manual,First Owner,360000
2015,100000,Manual,First Owner,451000
2010,45000,Manual,Second Owner,175000
2009,44800,Manual,Second Owner,170000
2006,40000,Manual,Second Owner,100000
2014,120000,Manual,Third Owner,150000
2011,10000,Manual,Second Owner,149000
